"BrandID"|"BrandName"|"BrandOEMFlag"|"BrandOwnerID"|"BrandOwner"|"ParentID"|"ParentCompany"|"SubBrandID"|"SubBrand"|"Revision Date"
"GNPQ"|"Broview"|"False"|"GHLK"|"Gaatu Inc"|"GHLJ"|"Gaatu Inc"|""|""|"Dec 23, 2015"
"GNPR"|"HALOPRO"|"False"|"GHLK"|"Gaatu Inc"|"GHLJ"|"Gaatu Inc"|""|""|"Dec 23, 2015"
"GNPX"|"RENEGADE"|"False"|"GNPW"|"RENEGADE"|"GNPV"|"RENEGADE"|""|""|"Dec 24, 2015"
"GNQD"|"Granite Digital"|"False"|"GNQC"|"Granite Digital"|"GNQB"|"Granite Digital"|""|""|"Dec 28, 2015"
"GNQH"|"Hyde"|"False"|"GNQG"|"Hyde Tools Inc"|"GNQF"|"Hyde Tools Inc"|""|""|"Dec 28, 2015"
"GNQL"|"Southern Truck"|"False"|"GNQK"|"Southern Truck"|"GNQJ"|"Southern Truck"|""|""|"Dec 28, 2015"
"GNQP"|"Method Race Wheels"|"False"|"GNQN"|"Custom Wheel House"|"GNQM"|"Custom Wheel House"|""|""|"Dec 28, 2015"
"GNQQ"|"NightHawk - Archived"|"False"|"HYYX"|"Archived Brands"|"HYYW"|"Archived Brands"|""|""|"Jul 10, 2020"
"GNQV"|"JMS"|"False"|"GNQT"|"JMS Chip USA"|"GNQS"|"JMS Chip USA"|""|""|"Dec 28, 2015"
"GNQW"|"Silent Stop"|"False"|"BDWV"|"Federated"|"BDWV"|"Federated"|""|""|"Dec 29, 2015"
"GNRC"|"Dino Tech Group"|"False"|"GNRB"|"Dino Tech Group SA"|"GNQX"|"Dino Tech Group SA"|""|""|"Jun 21, 2017"
"GNRF"|"KNAACK"|"False"|"GNRD"|"Werner Co"|"GNQR"|"Werner Co"|""|""|"Oct 01, 2019"
"GNRJ"|"Misch 4x4 Products"|"False"|"GNRH"|"Misco Enterprises LLC"|"GNRG"|"Misco Enterprises LLC"|""|""|"Dec 30, 2015"
"GNRM"|"Kinco"|"False"|"GNRL"|"Kinco International Inc"|"GNRK"|"Kinco International Inc"|""|""|"Dec 31, 2015"
"GNRW"|"PEX USA"|"False"|"GNRV"|"American Aftermarket OE Parts USA Inc"|"GNRT"|"American Aftermarket OE Parts USA Inc"|""|""|"Jan 04, 2016"
"GNSD"|"Old Toledo Brands Inc"|"False"|"GNSC"|"Old Toledo Brands Inc"|"GNSB"|"Old Toledo Brands Inc"|""|""|"Jan 04, 2016"
"GNSG"|"Acari"|"False"|"GNSF"|"ACARI Engineering Co LLC"|"GNRX"|"ACARI Engineering Co LLC"|""|""|"Jan 04, 2016"
"GNSH"|"Jammock"|"False"|"GNRR"|"Jammock LLC"|"GNRS"|"Jammock LLC"|""|""|"Jan 04, 2016"
"GNSN"|"A-PADS"|"False"|"GNSM"|"AAL International"|"GNSL"|"AAL International"|""|""|"Jan 05, 2016"
"GNSP"|"Anchortrax"|"False"|"BFFH"|"Holley Performance Products"|"BLVW"|"Holley Performance Products"|""|""|"Feb 01, 2019"
"GNSS"|"Mibro"|"False"|"DQSQ"|"The Mibro Group"|"DPNK"|"The Mibro Group"|""|""|"Jul 06, 2016"
"GNTB"|"Pentair"|"False"|"GNSX"|"RUI'AN BENTAI CAR ACCESSORIES CO LTD"|"GNSW"|"RUI'AN BENTAI CAR ACCESSORIES CO LTD"|""|""|"Jan 06, 2016"
"GNTC"|"Auto Parts Specialist"|"False"|"FJXM"|"Auto Parts Specialist Inc"|"FJXL"|"Auto Parts Specialist Inc"|""|""|"Jan 25, 2019"
"GNTF"|"ParkingTarget"|"False"|"GNTD"|"Innovative Products International LLC"|"GNSK"|"Innovative Products International LLC"|""|""|"Jan 07, 2016"
"GNTJ"|"Phillips"|"False"|"GNTH"|"Phillips Industries"|"GNTG"|"Phillips Industries"|""|""|"Jan 07, 2016"
"GNTM"|"PantsSaver"|"False"|"BFJB"|"Koolatron"|"BFJB"|"Koolatron"|""|""|"Jan 07, 2016"
"GNTV"|"HAIXUN"|"False"|"GNTT"|"HAIXUN"|"GNTS"|"HAIXUN"|""|""|"Jan 08, 2016"
"GNVB"|"PICQUIC"|"False"|"GNTX"|"Picquic Tool Company Inc"|"GNTW"|"Picquic Tool Company Inc"|""|""|"Jan 08, 2016"
"GNVG"|"ProElite"|"False"|"BKRN"|"AutoZone Inc"|"BKRM"|"AutoZone Inc"|""|""|"Jan 08, 2016"
"GNVH"|"SureBilt"|"False"|"BKRN"|"AutoZone Inc"|"BKRM"|"AutoZone Inc"|""|""|"Jan 08, 2016"
"GNVK"|"Desperado Truck Accessories"|"False"|"GNVJ"|"Desperado Truck Accessories"|"GNTN"|"Desperado Truck Accessories"|""|""|"Jan 08, 2016"
"GNVM"|"Clazzio"|"False"|"GNVL"|"Eleven International Co Ltd"|"GNTL"|"Eleven International Co Ltd"|""|""|"Jan 08, 2016"
"GNVP"|"BEDNET"|"False"|"GNVN"|"ADRIANS INC"|"GNST"|"ADRIANS INC"|""|""|"Jan 08, 2016"
"GNVR"|"Buckeye Fire Equipment"|"False"|"GNVQ"|"Buckeye Fire Equipment Company"|"GNSV"|"Buckeye Fire Equipment Company"|""|""|"Jan 08, 2016"
"GNVV"|"SoCal Diesel"|"False"|"GNVT"|"SoCal Diesel"|"GNVS"|"SoCal Diesel"|""|""|"Jan 10, 2016"
"GNWC"|"Auto Parts Prodigy"|"False"|"GNTQ"|"Auto Parts Prodigy"|"GNTP"|"Auto Parts Prodigy"|""|""|"Jan 12, 2016"
"GNWG"|"Safety Tire Seal Corporation"|"False"|"GNWF"|"Safety Tire Seal Corporation"|"GNWD"|"Safety Tire Seal Corporation"|""|""|"Jan 12, 2016"
"GNWK"|"CARQUEST Window Regulators"|"False"|"BMBR"|"Advance Auto Parts"|"BKNR"|"Advance Auto Parts"|""|""|"Jan 12, 2016"
"GNWN"|"Innovative JK Products"|"False"|"GNWM"|"Innovative JK Products"|"GNWL"|"Innovative JK Products"|""|""|"Jan 12, 2016"
"GNWR"|"BoltSizeIt"|"False"|"GNWQ"|"BoltSizeIt"|"GNWP"|"BoltSizeIt"|""|""|"Jan 12, 2016"
"GNWV"|"DEAL AUTO ELECTRIC PARTS"|"False"|"GNWT"|"Wenzhou Reelcar Auto Electric Parts Co Ltd"|"GNWS"|"Wenzhou Reelcar Auto Electric Parts Co Ltd"|""|""|"Dec 19, 2018"
"GNXB"|"Solder-It"|"False"|"GNWX"|"Solder-It Inc"|"GNWW"|"Solder-It Inc"|""|""|"Jan 13, 2016"
"GNXD"|"R.O.S.E."|"False"|"GNXC"|"ROSE"|"GNWJ"|"ROSE"|""|""|"Jan 13, 2016"
"GNXJ"|"Venhill"|"False"|"GNXH"|"Venhill Engineering Ltd"|"GNXG"|"Venhill Engineering Ltd"|""|""|"Jan 13, 2016"
"GNXR"|"SafeTruck by Ms.Carita"|"False"|"GNXQ"|"Ms. Carita SafeTruck Inc"|"GNXP"|"Ms. Carita SafeTruck Inc"|""|""|"Jan 13, 2016"
"GNXV"|"AC Cars"|"False"|"GNXT"|"AC Cars LLC"|"GNXS"|"AC Cars LLC"|"GNXW"|"AI"|"Jan 14, 2016"
"GNXV"|"AC Cars"|"False"|"GNXT"|"AC Cars LLC"|"GNXS"|"AC Cars LLC"|"GNXX"|"FPD"|"Jan 14, 2016"
"GPBG"|"NICHE"|"False"|"GPBF"|"Mishon Inc"|"GPBD"|"Mishon Inc"|""|""|"Jan 04, 2019"
"GPBK"|"SHOWSEN"|"False"|"GPBJ"|"Rui'an Zhansheng Auto parts Co.,LTD"|"GPBH"|"Rui'an Zhansheng Auto parts Co.,LTD"|""|""|"Jan 14, 2016"
"GPBS"|"Vicrez"|"False"|"GPBR"|"Vicrez"|"GPBQ"|"Vicrez"|""|""|"Jan 15, 2016"
